Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
[32],Sigmoid,0.001,16,0.5160226248204708,0.71834713,0.21037796763078387
[32],Sigmoid,0.001,32,0.6116993516683579,0.7821121,0.06397263438116207
[32],Sigmoid,0.001,64,0.6328773856163025,0.7955359,0.03156584958041475
[32],Sigmoid,0.001,128,0.6351989905039469,0.80423075,0.010281042089617332
[32],Sigmoid,0.0001,16,0.6996258586645127,0.8364364,-0.07057320278902823
[32],Sigmoid,0.0001,32,3.8817968368530273,1.9702277,-4.9399571232864075
[32],Sigmoid,0.0001,64,14.775522804260254,3.8438942,-21.60962550809739
[32],Sigmoid,0.0001,128,26.390989939371746,5.1338596,-39.33095579346585
"[32, 16]",ReLU,0.01,16,0.42788948565721513,0.6541326,0.3452400296062834
"[32, 16]",ReLU,0.01,32,0.39596724808216094,0.6292593,0.3940876720182924
"[32, 16]",ReLU,0.01,64,0.40338495969772337,0.63512594,0.38273704703686395
"[32, 16]",ReLU,0.01,128,0.4577534794807434,0.68529284,0.2813741331131543
"[32, 16]",ReLU,0.001,16,0.4514585852622986,0.67190665,0.3091743869423298
"[32, 16]",ReLU,0.001,32,0.4597489356994629,0.6780479,0.29648842061939573
"[32, 16]",ReLU,0.001,64,0.4571507751941681,0.6761293,0.3004641477070441
"[32, 16]",ReLU,0.001,128,0.5129227538903555,0.72351396,0.19897825130037594
"[32, 16]",ReLU,0.0001,16,0.6572752207517624,0.8107251,-0.005767891824332905
"[32, 16]",ReLU,0.0001,32,0.6120001316070557,0.78230435,0.06351240598950714
"[32, 16]",ReLU,0.0001,64,1.565252137184143,1.2511003,-1.3951615890840428
"[32, 16]",ReLU,0.0001,128,8.607267379760742,2.9353611,-12.184802006208765
"[32, 16]",Tanh,0.01,16,0.6712802767753601,0.8193169,-0.027198511366337552
"[32, 16]",Tanh,0.01,32,0.6629865348339081,0.8142398,-0.014507400870549247
"[32, 16]",Tanh,0.01,64,0.6587327122688293,0.8116235,-0.007998204002070075
"[32, 16]",Tanh,0.01,128,0.6447963317235311,0.8103572,-0.004855325097809171
"[32, 16]",Tanh,0.001,16,0.5054867386817932,0.71097594,0.22650005184377608
"[32, 16]",Tanh,0.001,32,0.6551860392093658,0.80943567,-0.002571002612076878
"[32, 16]",Tanh,0.001,64,0.656071937084198,0.8099827,-0.003926674796384422
"[32, 16]",Tanh,0.001,128,0.73501584927241,0.86280066,-0.13912522331031996
"[32, 16]",Tanh,0.0001,16,1.0561141878366471,1.0276742,-0.6160745574644633
"[32, 16]",Tanh,0.0001,32,3.957637882232666,1.9893813,-5.056009781335092
"[32, 16]",Tanh,0.0001,64,12.745243644714355,3.570048,-18.502876623543706
"[32, 16]",Tanh,0.0001,128,18.67152277628581,4.315592,-27.499104645206497
"[32, 16]",Sigmoid,0.01,16,0.4269576773047447,0.65342,0.346665874383731
"[32, 16]",Sigmoid,0.01,32,0.6595305353403091,0.81211483,-0.009219017329761936
"[32, 16]",Sigmoid,0.01,64,0.6535629868507385,0.8084324,-8.737509287870537e-05
"[32, 16]",Sigmoid,0.01,128,0.6441412170728048,0.8099948,-0.003956668343619185
"[32, 16]",Sigmoid,0.001,16,0.6570377469062805,0.81057864,-0.005404522900450903
"[32, 16]",Sigmoid,0.001,32,0.6567291051149369,0.81038827,-0.004932214105123789
"[32, 16]",Sigmoid,0.001,64,0.6777748346328736,0.8232708,-0.03713660703378774
"[32, 16]",Sigmoid,0.001,128,3.039476156234741,1.7419376,-3.6431822338545796
"[32, 16]",Sigmoid,0.0001,16,7.359928560256958,2.712919,-10.262222918251885
"[32, 16]",Sigmoid,0.0001,32,19.55305633544922,4.4218836,-28.920245386351723
"[32, 16]",Sigmoid,0.0001,64,18.29767837524414,4.2775784,-26.99925717852942
"[32, 16]",Sigmoid,0.0001,128,26.558080037434895,5.149717,-39.580483032922814
"[64, 32]",ReLU,0.01,16,0.3803009733557701,0.6166855,0.4180603329503634
"[64, 32]",ReLU,0.01,32,0.4318794995546341,0.6571754,0.33913446908608447
"[64, 32]",ReLU,0.01,64,0.41233627796173095,0.64213413,0.36903967677493754
"[64, 32]",ReLU,0.01,128,0.44827677806218463,0.67830676,0.29595117981824537
"[64, 32]",ReLU,0.001,16,0.4173889882862568,0.64605653,0.36130796106611063
"[64, 32]",ReLU,0.001,32,0.4190779775381088,0.6473623,0.35872347571884555
"[64, 32]",ReLU,0.001,64,0.44574691653251647,0.6676428,0.31791444912921696
"[64, 32]",ReLU,0.001,128,0.4545554618040721,0.6811913,0.28995034151576426
